GlobalNodeId,Points:0,Points:1
6840,0.00476656,0.0755932
6823,0.00476599,0.0759816
6826,0.00476378,0.0763699
6809,0.00476146,0.0767573
6812,0.00476008,0.0771448
6795,0.00475896,0.0775324
6798,0.00475842,0.07792
6781,0.00475812,0.0783078
6784,0.004758,0.0786955
6767,0.00475802,0.0790834
6770,0.00475809,0.0794713
6753,0.0047582,0.0798592
6756,0.0047583,0.0802471
6739,0.00475839,0.080635
6742,0.00475844,0.0810229
6725,0.00475846,0.0814108
6728,0.00475843,0.0817988
6711,0.00475837,0.0821867
6714,0.00475827,0.0825746
6697,0.00475814,0.0829626
6700,0.00475798,0.0833505
6683,0.00475782,0.0837384
6686,0.00475767,0.0841263
6669,0.00475759,0.0845142
6672,0.0047576,0.084902
6655,0.00475779,0.0852898
6658,0.00475823,0.0856776
6641,0.00475887,0.0860651
6644,0.00476045,0.0864525
6627,0.00476238,0.0868403
6630,0.00476451,0.0872281
6613,0.00476598,0.0876168
6616,0.00476492,0.0880055
6599,0.00476309,0.0883934
6602,0.00476107,0.0887813
6585,0.00475923,0.0891687
6588,0.00475834,0.0895562
6571,0.00475771,0.089944
6574,0.00475741,0.0903317
6557,0.00475731,0.0907195
6560,0.00475733,0.0911074
6543,0.00475743,0.0914953
6546,0.00475755,0.0918832
6529,0.00475769,0.0922712
6532,0.00475779,0.0926591
6515,0.00475788,0.093047
6518,0.00475792,0.093435
6501,0.00475792,0.0938229
6504,0.00475788,0.0942109
6487,0.00475781,0.0945988
6490,0.0047577,0.0949868
6473,0.00475757,0.0953747
6476,0.00475743,0.0957626
6459,0.0047573,0.0961505
6462,0.00475721,0.0965384
6445,0.00475724,0.0969263
6448,0.00475737,0.0973142
6431,0.00475766,0.0977019
6434,0.00475849,0.0980895
6417,0.00475964,0.0984771
6420,0.00476188,0.0988644
6403,0.00476407,0.0992529
6406,0.00476461,0.0996414
6389,0.00476414,0.10003
6392,0.00476203,0.100418
6375,0.00475967,0.100806
6378,0.00475803,0.101193
6361,0.00475664,0.101581
6364,0.00475588,0.101969
6347,0.00475534,0.102357
6350,0.004755,0.102745
6333,0.00475479,0.103133
6336,0.00475465,0.103521
6319,0.00475455,0.103909
6322,0.00475443,0.104297
6305,0.0047543,0.104685
6308,0.00475413,0.105073
6291,0.00475393,0.105461
6294,0.00475368,0.105849
6277,0.0047534,0.106237
6280,0.00475308,0.106625
6263,0.00475273,0.107013
6266,0.00475235,0.107402
6249,0.00475196,0.10779
6252,0.00475156,0.108178
6235,0.00475118,0.108566
6238,0.00475086,0.108954
6221,0.00475067,0.109342
6224,0.00475059,0.10973
6207,0.00475055,0.110118
6210,0.0047514,0.110506
6193,0.00475254,0.110895
6196,0.00475326,0.111283
6179,0.00475304,0.111672
6182,0.00475064,0.112061
6165,0.00474795,0.112449
6168,0.00474559,0.112838
6151,0.00474324,0.113226
6154,0.00474135,0.113614
6137,0.00473966,0.114003
6140,0.00473821,0.114391
6123,0.00473689,0.11478
6126,0.00473564,0.115169
6109,0.00473445,0.115557
6112,0.00473328,0.115946
6095,0.00473211,0.116335
6098,0.00473089,0.116724
6081,0.00472964,0.117113
6084,0.0047283,0.117502
6067,0.00472698,0.117891
6070,0.00472555,0.11828
6053,0.00472417,0.118669
6056,0.00472296,0.119058
6039,0.00472202,0.119447
