time,corrected_accel,corrected_disp,corrected_vel
0.46,-3.9411215310335,-1.9133013008898,-6.6923597742932
0.465,-3.7105239946433,-1.9468110535671,-6.7114888881074
0.47,-3.479926458253,-1.9804135693443,-6.7294650142397
0.475,-3.2493289218627,-2.014103083283,-6.7462881526899
0.48,-3.0187313854724,-2.0478738304447,-6.7619583034583
0.485,-2.7881338490822,-2.081720045891,-6.7764754665447
0.49,-2.5575363126919,-2.1156359646836,-6.7898396419491
0.495,-2.3269387763017,-2.1496158218839,-6.8020508296716
0.5,-2.0963412399115,-2.1836538525537,-6.8131090297121
0.505,-1.8657437035212,-2.2177442917545,-6.8230142420707
0.51,-1.6351461671309,-2.2518813745479,-6.8317664667473
0.515,-1.4045486307406,-2.2860593359954,-6.839365703742
0.52,-1.1739510943504,-2.3202724111588,-6.8458119530547
0.525,-0.94335355796015,-2.3545148350994,-6.8511052146855
0.53,-0.7127560215699,-2.3887808428791,-6.8552454886343
0.535,-0.48215848517966,-2.4230646695592,-6.8582327749012
0.54,-0.25156094878942,-2.4573605502015,-6.8600670734861
0.545,-0.020963412399175,-2.4916627198675,-6.8607483843891
0.55,0.20963412399117,-2.5259654136189,-6.8602767076101
0.555,0.44023166038141,-2.5602628665171,-6.8586520431492
0.56,0.67082919677165,-2.5945493136238,-6.8558743910063
0.565,0.9014267331619,-2.6288189900006,-6.8519437511815
0.57,1.1320242695521,-2.6630661307091,-6.8468601236747
0.575,1.3626218059424,-2.6972849708108,-6.840623508486
0.58,1.5932193423326,-2.7314697453674,-6.8332339056153
0.585,1.823816878723,-2.7656146894404,-6.8246913150626
0.59,2.0544144151132,-2.7997140380915,-6.814995736828
0.595,2.2850119515035,-2.8337620263821,-6.8041471709115
0.6,2.5156094878937,-2.867752889374,-6.792145617313
0.605,2.7462070242839,-2.9016808621287,-6.7789910760326
0.61,2.9768045606742,-2.9355401797078,-6.7646835470702
0.615,3.2074020970644,-2.9693250771729,-6.7492230304258
0.62,3.4379996334547,-3.0030297895855,-6.7326095260995
0.625,3.668597169845,-3.0366485520073,-6.7148430340913
0.63,3.8991947062353,-3.0701755994999,-6.6959235544011
0.635,4.1297922426255,-3.1036051671248,-6.6758510870289
0.64,4.3603897790157,-3.1369314899436,-6.6546256319748
0.645,4.590987315406,-3.170148803018,-6.6322471892388
0.65,4.8215848517962,-3.2032513414095,-6.6087157588208
0.655,5.0521823881865,-3.2362333401796,-6.5840313407208
0.66,5.2827799245768,-3.2690890343901,-6.5581939349389
0.665,5.5133774609671,-3.3018126591025,-6.531203541475
0.67,5.7439749973573,-3.3343984493783,-6.5030601603292
0.675,5.9745725337475,-3.3668406402792,-6.4737637915015
0.68,6.2051700701378,-3.3991334668668,-6.4433144349917
0.685,6.435767606528,-3.4312711642026,-6.4117120908001
0.69,6.6663651429183,-3.4632479673482,-6.3789567589265
0.695,6.8969626793085,-3.4950581113653,-6.3450484393709
0.7,7.1275602156989,-3.5266958313154,-6.3099871321334
0.705,7.3581577520891,-3.5581553622601,-6.2737728372139
0.71,7.5887552884793,-3.589430939261,-6.2364055546125
0.715,7.8193528248696,-3.6205167973797,-6.1978852843291
0.72,8.0499503612598,-3.6514071716777,-6.1582120263638
0.725,8.2805478976501,-3.6820962972167,-6.1173857807165
0.73,8.5111454340403,-3.7125784090583,-6.0754065473873
0.735,8.7417429704306,-3.7428477422641,-6.0322743263761
0.74,8.9723405068209,-3.7728985318955,-5.987989117683
0.745,9.2029380432111,-3.8027250130143,-5.9425509213079
0.75,9.4335355796014,-3.8323214206821,-5.8959597372509
0.755,9.6641331159916,-3.8616819899603,-5.8482155655119
0.76,9.8947306523819,-3.8908009559106,-5.799318406091
0.765,10.125328188772,-3.9196725535947,-5.7492682589881
0.77,10.355925725162,-3.948291018074,-5.6980651242032
0.775,10.586523261553,-3.9766505844101,-5.6457090017364
0.78,10.817120797943,-4.0047454876648,-5.5921998915877
0.785,11.047718334333,-4.0325699628995,-5.537537793757
0.79,11.278315870723,-4.0601182451758,-5.4817227082444
0.795,11.508913407114,-4.0873845695554,-5.4247546350498
0.8,11.739510943504,-4.1143631710998,-5.3666335741732
0.805,11.970108479894,-4.1410482848706,-5.3073595256147
0.81,12.200706016284,-4.1674341459294,-5.2469324893743
0.815,12.431303552675,-4.1935149893377,-5.1853524654519
0.82,12.661901089065,-4.2192850501573,-5.1226194538475
0.825,12.892498625455,-4.2447385634497,-5.0587334545612
0.83,13.123096161845,-4.2698697642764,-4.993694467593
0.835,13.353693698236,-4.2946728876991,-4.9275024929428
0.84,13.584291234626,-4.3191421687793,-4.8601575306106
0.845,13.814888771016,-4.3432718425786,-4.7916595805965
0.85,14.045486307407,-4.3670561441587,-4.7220086429005
0.855,14.276083843797,-4.3904893085811,-4.6512047175225
0.86,14.506681380187,-4.4135655709074,-4.5792478044625
0.865,14.737278916577,-4.4362791661991,-4.5061379037206
0.87,14.967876452968,-4.458624329518,-4.4318750152967
0.875,15.198473989358,-4.4805952959256,-4.3564591391909
0.88,15.429071525748,-4.5021863004834,-4.2798902754032
0.885,15.659669062138,-4.523391578253,-4.2021684239334
0.89,15.890266598529,-4.5442053642962,-4.1232935847818
0.895,16.120864134919,-4.5646218936743,-4.0432657579482
0.9,16.351461671309,-4.5846354014491,-3.9620849434326
0.905,16.582059207699,-4.6042401226821,-3.8797511412351
0.91,16.81265674409,-4.6234302924349,-3.7962643513556
0.915,17.04325428048,-4.6422001457691,-3.7116245737942
0.92,17.27385181687,-4.6605439177463,-3.6258318085508
0.925,17.50444935326,-4.678455843428,-3.5388860556255
0.93,17.735046889651,-4.695930157876,-3.4507873150182
0.935,17.965644426041,-4.7129610961517,-3.361535586729
0.94,18.196241962431,-4.7295428933167,-3.2711308707578
0.945,18.426839498821,-4.7456697844327,-3.1795731671047
0.95,18.657437035212,-4.7613360045612,-3.0868624757696
0.955,18.888034571602,-4.7765357887639,-2.9929987967525
0.96,19.118632107992,-4.7912633721022,-2.8979821300536
0.965,19.349229644382,-4.8055129896378,-2.8018124756726
0.97,19.579827180773,-4.8192788764324,-2.7044898336097
0.975,19.810424717163,-4.8325552675474,-2.6060142038649
0.98,20.041022253553,-4.8453363980445,-2.5063855864381
0.985,20.271619789943,-4.8576165029852,-2.4056039813294
0.99,20.502217326334,-4.8693898174312,-2.3036693885387
0.995,20.732814862724,-4.8806505764441,-2.200581808066
1,20.963412399114,-4.8913930150853,-2.0963412399114
