time,ground_displacement,relative_displacement,roof_displacement
-4.12,4.0678922221221,-10.671030407037,14.738922629159
-4.11,4.0546796438412,-13.12125870243,17.175938346272
-4.1,3.964974650412,-15.432961223041,19.397935873453
-4.09,3.8010786933979,-17.556580413603,21.357659107001
-4.08,3.566476674903,-19.431696387761,22.998173062664
-4.07,3.2657797357684,-21.002258981448,24.268038717217
-4.06,2.9046503319206,-22.222311774138,25.126962106059
-4.05,2.4897107828118,-23.056264111825,25.545974894637
-4.04,2.0284367363279,-23.483057554745,25.511494291073
-4.03,1.5290372322064,-23.496146863296,25.025184095503
-4.02,1.0003232571566,-23.092627758055,24.092951015211
-4.01,0.45156686617493,-22.270571700858,22.722138567033
-4,-0.1076469068591,-21.033229632409,20.92558272555
-3.99,-0.6675730126776,-19.388922980629,18.721349967951
-3.98,-1.2184618108822,-17.357762488467,16.139300677585
-3.97,-1.7507145029892,-14.974833330512,13.224118827523
-3.96,-2.2550361223003,-12.288405056249,10.033368933949
-3.95,-2.7225836673119,-9.3547974982196,6.6322138309076
-3.94,-3.1451070421058,-6.2330748382474,3.0879677961417
-3.93,-3.5150805807297,-2.9761123689051,-0.53896821182465
-3.92,-3.825823081203,0.37354354561788,-4.1993666268209
-3.91,-4.0716044561053,3.7754507572163,-7.8470552133216
-3.9,-4.2477373178878,7.1885526309243,-11.436289948812
-3.89,-4.3506520547396,10.563888258649,-14.914540313389
-3.88,-4.3779542133064,13.844239104187,-18.222193317493
-3.87,-4.3284632836861,16.960557872694,-21.28902115638
-3.86,-4.202232275512,19.8391325344,-24.041364809912
-3.85,-4.0005477769568,22.414320299094,-26.414868076051
-3.84,-3.7259104963639,24.629503664768,-28.355414161132
-3.83,-3.3819965940899,26.440672811414,-29.822669405504
-3.82,-2.9736004151608,27.81186800362,-30.78546841878
-3.81,-2.506559526731,28.715877188522,-31.222436715253
-3.8,-1.9876632434595,29.127271636479,-31.114934879938
-3.79,-1.4245460843775,29.023539886119,-30.448085970496
-3.78,-0.82556784251844,28.390136759941,-29.21570460246
-3.77,-0.19968215975056,27.222807503791,-27.422489663541
-3.76,0.44370431942035,25.539957082998,-25.096252763578
-3.75,1.0948799926943,23.377542736544,-22.28266274385
-3.74,1.743981207518,20.782196316255,-19.038215108737
-3.73,2.3811476186527,17.809403752689,-15.428256134036
-3.72,2.9966775444279,14.515922777123,-11.519245232695
-3.71,3.5811808703339,10.951595590281,-7.3704147199468
-3.7,4.1257270872594,7.1583685162292,-3.0326414289698
-3.69,4.6219861283885,3.1833662787684,1.4386198496202
