time,acceleration,velocity,displacement
1.40000,0.00003,0.00403,0.00295
1.40500,0.00001,0.00412,0.00297
1.41000,0.00001,0.00415,0.00299
1.41500,-0.00002,0.00412,0.00301
1.42000,-0.00004,0.00398,0.00303
1.42500,-0.00003,0.00382,0.00305
1.43000,-0.00004,0.00366,0.00307
1.43500,-0.00001,0.00354,0.00309
1.44000,0.00000,0.00352,0.00310
1.44500,0.00001,0.00355,0.00312
1.45000,0.00002,0.00363,0.00314
1.45500,0.00004,0.00377,0.00316
1.46000,0.00005,0.00398,0.00318
1.46500,0.00004,0.00419,0.00320
1.47000,0.00005,0.00440,0.00322
1.47500,0.00003,0.00458,0.00324
1.48000,0.00002,0.00470,0.00326
1.48500,0.00003,0.00483,0.00329
1.49000,0.00000,0.00491,0.00331
1.49500,0.00000,0.00490,0.00334
1.50000,-0.00003,0.00483,0.00336
1.50500,-0.00005,0.00465,0.00339
1.51000,-0.00006,0.00438,0.00341
1.51500,-0.00008,0.00402,0.00343
1.52000,-0.00008,0.00363,0.00345
1.52500,-0.00005,0.00332,0.00347
1.53000,-0.00004,0.00309,0.00348
1.53500,-0.00002,0.00293,0.00350
1.54000,0.00001,0.00289,0.00351
1.54500,0.00003,0.00298,0.00353
1.55000,0.00005,0.00318,0.00354
1.55500,0.00005,0.00343,0.00356
1.56000,0.00005,0.00367,0.00358
1.56500,0.00007,0.00396,0.00359
1.57000,0.00006,0.00426,0.00361
1.57500,0.00004,0.00450,0.00364
1.58000,0.00001,0.00464,0.00366
1.58500,0.00000,0.00466,0.00368
1.59000,-0.00001,0.00462,0.00371
1.59500,-0.00004,0.00448,0.00373
1.60000,-0.00003,0.00430,0.00375
1.60500,-0.00003,0.00414,0.00377
1.61000,-0.00003,0.00399,0.00379
1.61500,-0.00002,0.00385,0.00381
1.62000,0.00000,0.00380,0.00383
1.62500,0.00001,0.00383,0.00385
1.63000,0.00001,0.00388,0.00387
1.63500,0.00005,0.00402,0.00389
1.64000,0.00004,0.00425,0.00391
1.64500,0.00006,0.00450,0.00393
1.65000,0.00006,0.00480,0.00395
1.65500,0.00004,0.00506,0.00398
1.66000,0.00004,0.00526,0.00401
1.66500,0.00001,0.00537,0.00403
1.67000,-0.00001,0.00537,0.00406
1.67500,-0.00003,0.00528,0.00409
1.68000,-0.00004,0.00510,0.00411
1.68500,-0.00004,0.00490,0.00414
1.69000,-0.00003,0.00473,0.00416
1.69500,-0.00001,0.00461,0.00418
1.70000,-0.00003,0.00450,0.00421
1.70500,-0.00002,0.00437,0.00423
1.71000,-0.00001,0.00430,0.00425
1.71500,-0.00002,0.00423,0.00427
1.72000,-0.00002,0.00415,0.00429
1.72500,-0.00003,0.00403,0.00431
1.73000,0.00000,0.00396,0.00433
1.73500,0.00000,0.00396,0.00435
1.74000,-0.00002,0.00391,0.00437
1.74500,0.00001,0.00391,0.00439
1.75000,-0.00002,0.00390,0.00441
1.75500,0.00000,0.00384,0.00443
1.76000,0.00002,0.00387,0.00445
1.76500,0.00000,0.00391,0.00447
1.77000,0.00002,0.00395,0.00449
1.77500,0.00000,0.00399,0.00451
1.78000,0.00000,0.00400,0.00453
1.78500,0.00000,0.00400,0.00455
1.79000,-0.00002,0.00394,0.00457
1.79500,-0.00001,0.00386,0.00459
1.80000,-0.00002,0.00377,0.00461
1.80500,-0.00002,0.00368,0.00463
1.81000,-0.00003,0.00355,0.00464
1.81500,-0.00002,0.00343,0.00466
1.82000,0.00000,0.00338,0.00468
1.82500,-0.00001,0.00335,0.00470
1.83000,0.00001,0.00336,0.00471
1.83500,0.00002,0.00344,0.00473
1.84000,0.00003,0.00355,0.00475
1.84500,0.00005,0.00374,0.00476
1.85000,0.00004,0.00397,0.00478
1.85500,0.00005,0.00420,0.00480
1.86000,0.00004,0.00442,0.00483
1.86500,0.00005,0.00464,0.00485
1.87000,0.00005,0.00487,0.00487
1.87500,0.00001,0.00501,0.00490
1.88000,0.00002,0.00508,0.00492
1.88500,-0.00001,0.00508,0.00495
1.89000,-0.00003,0.00497,0.00497
1.89500,-0.00001,0.00486,0.00500
1.90000,-0.00003,0.00476,0.00502
1.90500,-0.00004,0.00458,0.00505
1.91000,-0.00005,0.00436,0.00507
1.91500,-0.00004,0.00415,0.00509
1.92000,-0.00003,0.00398,0.00511
1.92500,-0.00001,0.00388,0.00513
1.93000,0.00001,0.00387,0.00515
1.93500,0.00000,0.00391,0.00517
1.94000,0.00002,0.00395,0.00519
1.94500,0.00002,0.00403,0.00521
1.95000,0.00001,0.00410,0.00523
1.95500,0.00003,0.00420,0.00525
1.96000,0.00003,0.00434,0.00527
1.96500,0.00002,0.00445,0.00529
1.97000,0.00002,0.00453,0.00531
1.97500,0.00001,0.00458,0.00534
1.98000,0.00000,0.00460,0.00536
1.98500,-0.00001,0.00457,0.00538
1.99000,-0.00001,0.00451,0.00541
1.99500,-0.00001,0.00446,0.00543
2.00000,0.00000,0.00444,0.00545
2.00500,0.00000,0.00446,0.00547
2.01000,0.00000,0.00448,0.00549
2.01500,0.00002,0.00453,0.00552
2.02000,0.00002,0.00462,0.00554
2.02500,0.00003,0.00474,0.00556
2.03000,0.00003,0.00489,0.00559
2.03500,0.00000,0.00499,0.00561
2.04000,0.00002,0.00504,0.00564
2.04500,0.00001,0.00511,0.00566
2.05000,-0.00001,0.00511,0.00569
2.05500,0.00001,0.00512,0.00571
2.06000,0.00001,0.00517,0.00574
2.06500,0.00001,0.00521,0.00577
2.07000,0.00001,0.00526,0.00579
2.07500,0.00000,0.00528,0.00582
2.08000,0.00001,0.00529,0.00584
2.08500,-0.00002,0.00527,0.00587
2.09000,-0.00002,0.00519,0.00590
2.09500,-0.00002,0.00510,0.00592
2.10000,-0.00003,0.00499,0.00595
