time,ground_displacement,relative_displacement,roof_displacement
-1.8400000000001,193.77507443756,34.615705867954,159.1593685696
-1.8300000000001,194.70426572925,30.41008801766,164.2941777116
-1.8200000000001,195.69985964329,25.692108146333,170.00775149696
-1.8100000000001,196.75605098437,20.548757355454,176.20729362892
-1.8000000000001,197.86607889958,15.074624983026,182.79145391656
-1.7900000000001,199.02233350107,9.3687623022798,189.65357119879
-1.7800000000001,200.21647587852,3.5319225787721,196.68455329975
-1.7700000000001,201.43956960877,-2.3357501897666,203.77531979853
-1.7600000000001,202.68222168851,-8.1363004852084,210.81852217372
-1.7500000000001,203.9347306676,-13.774130763449,217.70886143104
-1.7400000000001,205.18723964668,-19.15603477253,224.34327441921
-1.7300000000001,206.42989172643,-24.192024441118,230.62191616754
-1.7200000000001,207.65298545667,-28.796804782305,236.44979023898
-1.7100000000001,208.84712783412,-32.891662629949,241.73879046407
-1.7000000000001,210.00338243561,-36.406545467237,246.40992790285
-1.6900000000001,211.11341035082,-39.282255008694,250.39566535951
-1.6800000000001,212.1696016919,-41.471635148588,253.64123684049
-1.6700000000001,213.16519560594,-42.939742754802,256.10493836074
-1.6600000000001,214.09438689764,-43.663687777962,257.7580746756
-1.6500000000001,214.95241758072,-43.632532366496,258.58494994722
-1.6400000000001,215.73565191422,-42.847707595495,258.58335950972
-1.6300000000001,216.4416337403,-41.323739200404,257.7653729407
-1.6200000000001,217.06912521927,-39.089067453962,256.15819267324
-1.6100000000001,217.61812635116,-36.186353443329,253.80447979449
-1.6000000000001,218.08987497561,-32.671964863925,250.76183983953
-1.5900000000001,218.48682725048,-28.614296993108,247.10112424359
-1.5800000000001,218.81261891674,-24.090745432145,242.90336434888
-1.5700000000001,219.07200796066,-19.184890420156,238.25689838081
-1.5600000000001,219.27079957753,-13.984366647124,233.25516622465
-1.5500000000001,219.41575462027,-8.5791162721348,227.99487089241
-1.5400000000001,219.51448297674,-3.0605378897493,222.57502086649
-1.5300000000001,219.57532355725,2.4786638420962,217.09665971515
-1.5200000000001,219.60721278496,7.9450291342514,211.6621836507
-1.5100000000001,219.61954366317,13.245709550473,206.37383411269
-1.5000000000001,219.62201764203,18.29028002717,201.33173761486
-1.4900000000001,219.6244916209,22.993102185958,196.63138943494
-1.4800000000001,219.63682249911,27.275477983174,192.36134451594
-1.4700000000001,219.66871172682,31.066805896517,188.6019058303
-1.4600000000001,219.72955230732,34.305391042946,185.42416126438
-1.4500000000001,219.82828066379,36.938828716437,182.88945194736
-1.4400000000001,219.97323570654,38.923838256256,181.04939745028
-1.4300000000001,220.17202732341,40.226979070655,179.94504825275
-1.4200000000001,220.43141636732,40.826356607592,179.60505975973
-1.4100000000001,220.75720803358,40.713053699767,180.04415433381
-1.4000000000001,221.15416030845,39.892292397527,181.26186791092
-1.3900000000001,221.6259089329,38.384221440915,183.24168749199
-1.3800000000001,222.17491006479,36.223102174003,185.95180789078
-1.3700000000001,222.80240154376,33.455201614423,189.34719992934
-1.3600000000001,223.50838336983,30.136633847547,193.37174952228
-1.3500000000001,224.29161770333,26.331077464952,197.96054023838
-1.3400000000001,225.14964838642,22.108027144303,203.04162124211
-1.3300000000001,226.07883967811,17.542242106014,208.5365975721
-1.3200000000001,227.07443359215,12.713299331503,214.36113426065
-1.3100000000001,228.13062493323,7.704848061297,220.42577687193
-1.3000000000001,229.24065284844,2.6038234081878,226.63682944025
-1.2900000000001,230.39690744993,-2.5012380574795,232.89814550741
-1.2800000000001,231.59104982738,-7.5227816061561,239.11383143353
-1.2700000000001,232.81414355762,-12.376242256071,245.19038581369
-1.2600000000001,234.05679563737,-16.981238891129,251.03803452849
-1.2500000000001,235.30930461645,-21.262564155077,256.57186877153
-1.2400000000001,236.56181359554,-25.15053896277,261.71235255831
-1.2300000000001,237.80446567528,-28.580957818445,266.38542349373
-1.2200000000001,239.02755940553,-31.495861105435,270.52342051096
-1.2100000000001,240.22170178298,-33.845159340124,274.0668611231
-1.2000000000001,241.37795638447,-35.588703087179,276.96665947164
-1.1900000000001,242.48798429968,-36.698473172478,279.18645747215
-1.1800000000001,243.54417564076,-37.160003704351,280.70417934511
-1.1700000000001,244.5397695548,-36.972603775777,281.51237333057
-1.1600000000001,245.46896084649,-36.148605289393,281.61756613589
-1.1500000000001,246.32699152958,-34.711849050919,281.0388405805
-1.1400000000001,247.11022586308,-32.695785172968,279.80601103605
-1.1300000000001,247.81620768915,-30.14200958408,277.95821727323
-1.1200000000001,248.44369916813,-27.09984828961,275.54354745774
-1.1100000000001,248.99270030001,-23.626255468111,272.61895576812
-1.1000000000001,249.46444892446,-19.78514591115,269.24959483561
-1.0900000000001,249.86140119934,-15.646567416488,265.50796861582
-1.0800000000001,250.18719286559,-11.285392820558,261.47258568615
-1.0700000000001,250.44658190951,-6.7791872240603,257.22576913357
-1.0600000000001,250.64537352638,-2.2058762955253,252.85124982191
-1.0500000000001,250.79032856913,2.3577628282612,248.43256574087
-1.0400000000001,250.8890569256,6.8365831426277,244.05247378297
-1.0300000000001,250.9498975061,11.157398455067,239.79249905103
-1.0200000000001,250.98178673381,15.248853415884,235.73293331792
-1.0100000000001,250.99411761202,19.041873917676,231.95224369434
-1.0000000000001,250.99659159089,22.471197564663,228.52539402622
-0.99000000000006,250.99906556975,25.477144028304,225.52192154145
-0.98000000000006,251.01139644796,28.008201384666,223.0031950633
-0.97000000000006,251.04328567567,30.023497915965,221.01978775971
-0.96000000000006,251.10412625618,31.493876300234,219.61024995594
-0.95000000000006,251.20285461264,32.401600671685,218.80125394096
-0.94000000000006,251.34780965539,32.739865180711,218.60794447468
-0.93000000000006,251.54660127226,32.512056744734,219.03454452753
-0.92000000000006,251.80599031618,31.73036800363,220.07562231255
-0.91000000000006,252.13178198243,30.415577445245,221.71620453719
-0.90000000000006,252.5287342573,28.597417370608,223.9313168867
-0.89000000000006,253.00048288176,26.314405012616,226.68607786914
-0.88000000000006,253.54948401364,23.613420303254,229.93606371038
-0.87000000000006,254.17697549261,20.548383486544,233.62859200607
-0.86000000000006,254.88295731869,17.178172089587,237.7047852291
-0.85000000000006,255.66619165219,13.564708538099,242.10148311409
-0.84000000000006,256.52422233527,9.7715348630041,246.75268747227
-0.83000000000006,257.45341362697,5.8626850096397,251.59072861733
-0.82000000000006,258.449007541,1.902642817724,256.54636472328
-0.81000000000006,259.50519888209,-2.0428372141195,261.5480360962
-0.80000000000006,260.6152267973,-5.906911132695,266.52213792999
-0.79000000000006,261.77148139878,-9.6227389616037,271.39422036038
-0.78000000000006,262.96562377623,-13.125007845347,276.09063162158
-0.77000000000006,264.18871750648,-16.352277835689,280.54099534216
-0.76000000000006,265.43136958622,-19.249503388676,284.68087297489
-0.75000000000006,266.68387856531,-21.769728379933,288.45360694524
-0.74000000000006,267.93638754439,-23.874896076348,291.81128362074
-0.73000000000006,269.17903962414,-25.535791589269,294.71483121341
-0.72000000000006,270.40213335438,-26.731332817046,297.13346617143
